iteration,batch_idx,loss,avg batch loss,iteration_time,label,test accuracy
1,19,5.336719036102295,5.888974976539612,1.3692388534545898,node0-part-1,2081/10000 (21%)
2,39,2.352879524230957,3.5155731797218324,1.5304498672485352,node0-part-1,2081/10000 (21%)
3,59,2.319727897644043,2.4849556565284727,1.5522282123565674,node0-part-1,2081/10000 (21%)
4,79,2.2924907207489014,2.3645079135894775,1.3955698013305664,node0-part-1,2081/10000 (21%)
5,99,2.2312378883361816,2.2735238552093504,1.470672845840454,node0-part-1,2081/10000 (21%)
6,119,2.1594181060791016,2.278784430027008,1.380049228668213,node0-part-1,2081/10000 (21%)
7,139,2.299321174621582,2.2518125414848327,1.4108641147613525,node0-part-1,2081/10000 (21%)
8,159,2.2643115520477295,2.227773380279541,1.4755496978759766,node0-part-1,2081/10000 (21%)
9,179,2.09145188331604,2.2163678288459776,1.4665260314941406,node0-part-1,2081/10000 (21%)
1,19,4.111581802368164,5.560283565521241,3.4785032272338867,node0-part-2a,1001/10000 (10%)
2,39,2.4442849159240723,2.7095236659049986,3.381667137145996,node0-part-2a,1001/10000 (10%)
1,19,4.02236795425415,5.5574161291122435,3.2533199787139893,node0-part-2b,1088/10000 (11%)
2,39,2.381739616394043,2.7730280637741087,3.183839797973633,node0-part-2b,1088/10000 (11%)
1,19,3.993133544921875,5.546517598628998,3.2480294704437256,node0-part-3,1014/10000 (10%)
2,39,2.5127177238464355,2.835234749317169,3.2040932178497314,node0-part-3,1014/10000 (10%)
1,19,4.111581802368164,5.560283565521241,3.4785032272338867,node1-part-2a,1003/10000 (10%)
2,39,2.4442849159240723,2.7095236659049986,3.381667137145996,node1-part-2a,1003/10000 (10%)
1,19,4.02236795425415,5.5574161291122435,3.2533199787139893,node1-part-2b,1087/10000 (11%)
2,39,2.381739616394043,2.7730280637741087,3.183839797973633,node1-part-2b,1087/10000 (11%)
1,19,3.993133544921875,5.546517598628998,3.2480294704437256,node1-part-3,1014/10000 (10%)
2,39,2.5127177238464355,2.835234749317169,3.2040932178497314,node1-part-3,1014/10000 (10%)
1,19,4.111581802368164,5.560283565521241,3.4785032272338867,node2-part-2a,1001/10000 (10%)
2,39,2.4442849159240723,2.7095236659049986,3.381667137145996,node2-part-2a,1001/10000 (10%)
1,19,4.02236795425415,5.5574161291122435,3.2533199787139893,node2-part-2b,1088/10000 (11%)
2,39,2.381739616394043,2.7730280637741087,3.183839797973633,node2-part-2b,1088/10000 (11%)
1,19,3.993133544921875,5.546517598628998,3.2480294704437256,node2-part-3,1014/10000 (10%)
2,39,2.5127177238464355,2.835234749317169,3.2040932178497314,node2-part-3,1014/10000 (10%)
1,19,4.111581802368164,5.560283565521241,3.4785032272338867,node3-part-2a,1001/10000 (10%)
2,39,2.4442849159240723,2.7095236659049986,3.381667137145996,node3-part-2a,1001/10000 (10%)
1,19,4.02236795425415,5.5574161291122435,3.2533199787139893,node3-part-2b,1086/10000 (11%)
2,39,2.381739616394043,2.7730280637741087,3.183839797973633,node3-part-2b,1086/10000 (11%)
1,19,3.993133544921875,5.546517598628998,3.2480294704437256,node3-part-3,1014/10000 (10%)
2,39,2.5127177238464355,2.835234749317169,3.2040932178497314,node3-part-3,1014/10000 (10%)
